Treatment	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella
X.SampleID	11-(-2)-S-F-AK	11-(10)-S-F-GE	12-(-2)-S-F-AL	12-(10)-S-F-GF	13-(-1)-S-F-CK	13-(-2)-S-F-AM	13-(0)-S-F-EI	13-(10)-S-F-GG	13-(11)-S-F-KE	13-(12)-S-F-MC	15-(-1)-S-F-CM	15-(-2)-S-F-AO	15-(0)-S-F-EK	15-(10)-S-F-GI	15-(11)-S-F-KG	15-(12)-S-F-ME	16-(-1)-S-F-CN	16-(-2)-S-F-AP	16-(0)-S-F-EL	16-(10)-S-F-GJ	16-(11)-S-F-KH	16-(12)-S-F-MF	17-(-2)-S-F-AQ	17-(10)-S-F-GK	18-(-2)-S-F-AR	18-(10)-S-F-GL	20-(-1)-S-F-CR	20-(-2)-S-F-AT	20-(0)-S-F-EP	20-(10)-S-F-GN	20-(11)-S-F-KL	20-(12)-S-F-MJ	21-(10)-S-F-GO	22-(-2)-S-F-AV	22-(10)-S-F-GP	27-(-1)-S-F-CY	27-(-2)-S-F-BA	27-(0)-S-F-EW	27-(10)-S-F-GU	27-(11)-S-F-KS	5-(10)-S-F-FY
 4-29-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 661239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 A2	0.00350407747196738	0	0.0134691543658273	0.00312631057226734	0.0115197356981395	0.00370566437268396	0.0208231718755862	0	0	0	0.0161565889169514	0.0146224400561306	0.028992478572678	0	0	0	0.0089299058436706	0.0121568392218023	0.00892048693785841	0	0	0	0.00643162170607228	0	0	0	0.048998298998299	0.0084920355761017	0.00593869731800766	0	0	0	0	0.00858829844337091	0	0.00504406730278972	0.120235433212532	0.0120039338192757	0	0	0
 ADurb.Bin063-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ASF356	0	0	0.00116478536182469	0.0117046017766594	0.000652060511215441	0	0.00105053840093048	0	0	0	0.00921111276184816	0.00766712086392386	0.00931432569529474	0	0	0	0.00575399790763712	0.00253933977165937	0.0133136590764278	0.00883910542157199	0	0	0.00364545359858348	0.00446020383131509	0.00448681996634885	0.0114451812153692	0.0012993762993763	0.000351741118536757	0.00148467432950192	0.000686786981571216	0	0	0	0	0	0.00213052662247797	0.00575731873441797	0.00688418373250029	0.00436554132712456	0.00613962909044876	0
 Acetatifactor	0.00289882772680938	0	0.00345200025413499	0.00038125738686187	0.0033037732568249	0.00143689026695909	0.00270138445953551	0	0	0	0.00486554746694399	0.0160460433995648	0.0012244184012594	0	0	0	0.0195038110895232	0.0101373642852858	0.00472852879036856	0	0	0	0.00747317987709614	0	0	0	0.003000378000378	0.00125621828048842	0.00148467432950192	0	0	0	0	0	0	0.00129288367688834	0.00110519957848202	0.000809903968529446	0	0	0
 Achromobacter	0	0	0	0	0	0	0	0.0010131391483299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
