asv_id	5-(10)-S-F-FY	11-(-2)-S-F-AK	11-(10)-S-F-GE	12-(-2)-S-F-AL	12-(10)-S-F-GF	13-(-2)-S-F-AM	13-(-1)-S-F-CK	13-(0)-S-F-EI	13-(10)-S-F-GG	13-(11)-S-F-KE	13-(12)-S-F-MC	15-(-2)-S-F-AO	15-(-1)-S-F-CM	15-(0)-S-F-EK	15-(10)-S-F-GI	15-(11)-S-F-KG	15-(12)-S-F-ME	16-(-2)-S-F-AP	16-(-1)-S-F-CN	16-(0)-S-F-EL	16-(10)-S-F-GJ	16-(11)-S-F-KH	16-(12)-S-F-MF	17-(-2)-S-F-AQ	17-(10)-S-F-GK	18-(-2)-S-F-AR	18-(10)-S-F-GL	20-(-2)-S-F-AT	20-(-1)-S-F-CR	20-(0)-S-F-EP	20-(10)-S-F-GN	20-(11)-S-F-KL	20-(12)-S-F-MJ	21-(10)-S-F-GO	22-(-2)-S-F-AV	22-(10)-S-F-GP	27-(-2)-S-F-BA	27-(-1)-S-F-CY	27-(0)-S-F-EW	27-(10)-S-F-GU	27-(11)-S-F-KS	27-(12)-S-F-MQ	28-(-2)-S-F-BB	28-(-1)-S-F-CZ	28-(0)-S-F-EX	28-(10)-S-F-GV	28-(11)-S-F-KT	28-(12)-S-F-MR	JU	MC	LNM	NVU	QDC	JW	ME	NXW	QFE	LDA_2	ZEA_2	LXA_2	4_3_1_-1_M	4_3_1_-2_M	4_3_1_10_M	4_3_1_11_M	4_3_1_12_M	5_3_3_-2	5_3_4_-2	5_5_4_-2	5_5_5_-2	5_7_5_-2	5_8_2_-2	5_11_1_-2	5_11_2_-2	5_11_3_-2	5_11_4_-2	5_11_5_-2	5_12_1_-2	5_12_2_-2	5_12_3_-2	5_12_4_-2	5_12_5_-2	5_13_1_-2	5_13_2_-2	5_13_3_-2	5_13_4_-2	5_13_5_-2	5_14_1_-2	5_14_2_-2	5_14_3_-2	5_14_4_-2	5_14_5_-2	5_3_3_-1	5_3_4_-1	5_5_4_-1	5_5_5_-1	5_7_5_-1	5_8_2_-1	5_11_1_-1	5_11_2_-1	5_11_3_-1	5_11_4_-1	5_11_5_-1	5_12_1_-1	5_12_2_-1	5_12_3_-1	5_12_4_-1	5_12_5_-1	5_13_1_-1	5_13_2_-1	5_13_3_-1	5_13_4_-1	5_13_5_-1	5_14_1_-1	5_14_2_-1	5_14_3_-1	5_14_4_-1	5_14_5_-1	5_3_3_10	5_3_4_10	5_5_4_10	5_5_5_10	5_7_5_10	5_8_2_10	5_3_3_11	5_3_4_11	5_5_4_11	5_5_5_11	5_7_5_11	5_8_2_11	5_3_4_12	5_5_4_12	5_5_5_12	5_7_5_12	5_8_2_12	44-(-2)-C-F-BR	44-(-1)-C-F-DP	44-(0)-C-F-FN	44-(10)-C-F-HL	44-(11)-C-F-LJ	44-(12)-C-F-NH	45-(-2)-C-F-BS	45-(-1)-C-F-DQ	45-(0)-C-F-FO	45-(10)-C-F-HM	45-(11)-C-F-LK	45-(12)-C-F-NI	46-(-2)-C-F-BT	46-(-1)-C-F-DR	46-(0)-C-F-FP	46-(10)-C-F-HN	46-(11)-C-F-LL	46-(12)-C-F-NJ	47-(-2)-C-F-BU	47-(-1)-C-F-DS	47-(0)-C-F-FQ	47-(10)-C-F-HO	47-(11)-C-F-LM	47-(12)-C-F-NK	48-(-2)-C-F-BV	48-(-1)-C-F-DT	48-(0)-C-F-FR	48-(10)-C-F-HP	48-(12)-C-F-NL	49-(-2)-C-F-BW	49-(-1)-C-F-DU	49-(0)-C-F-FS	49-(10)-C-F-HQ	49-(11)-C-F-LO	49-(12)-C-F-NM	50-(-2)-C-F-BX	50-(-1)-C-F-DV	50-(0)-C-F-FT	50-(10)-C-F-HR	50-(11)-C-F-LP	50-(12)-C-F-NN	ID_new	KL	JWV	MED	IE	KM	JXW	MFE	ONM	IG	KO	JZY	MHG	OPO	II	IJ	KR	KCB	MKJ	OSR	IM	KU	KFE	MNM	OVU	5_1_1_-2	5_1_2_-2	5_1_3_-2	5_1_4_-2	5_1_5_-2	5_10_1_-2	5_10_2_-2	5_10_3_-2	5_10_4_-2	5_10_5_-2	5_1_1_-1	5_1_2_-1	5_1_3_-1	5_1_4_-1	5_1_5_-1	5_10_1_-1	5_10_2_-1	5_10_3_-1	5_10_4_-1	5_10_5_-1	5_1_1_10	5_1_2_10	5_1_3_10	5_1_4_10	5_1_5_10	5_1_1_11	5_1_2_11	5_1_3_11	5_1_4_11	5_1_5_11	5_1_1_12	5_1_2_12	5_1_3_12	5_1_4_12	5_1_5_12	32-(11)-S-F-KX	32-(12)-S-F-MV
0070a4be1daf9322b7ae99b4aa65ce76	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00734bae1cf0211dfbd5104afacd70a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
009d0cce4c492bd914fb9035ac2719d6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00c246b120f5d923130e01c042aef3de	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00cd2f68603124759047487807589f27	0	0	0	161	0	72	207	296	0	0	0	95	48	7	0	0	0	153	21	94	0	0	0	0	0	0	0	0	21	16	0	0	0	0	4	0	0	0	0	0	0	0	189	162	240	0	0	0	0	0	0	0	0	132	6	0	0	0	0	0	0	0	0	0	0	71	26	0	37	0	50	0	0	36	46	3	19	57	17	0	21	14	11	0	0	4	0	0	15	157	0	22	84	33	113	11	69	0	49	0	9	10	0	101	5	0	0	0	16	0	0	0	0	0	77	58	0	0	0	0	0	77	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	84	274	19	38	100	512	42	50	103	44	105	93	188	105	11	82	0	65	74	142	0	0	0	84	158	12	161	26	100	27	374	14	47	165	0	52	27	135	37	129	62	82	29	193	135	24	0	0	0	17	0	0	0	0	28	14	33	0	0	44	36	41	36	41	38	46	51	0	0	265	50	0	36	37	76	70	43	48	0	105	53	17	26	20	29	63	53	51	45	20	63	72	22	23	14	26	36	0	0
00d2bfd458db807e323de703ef956d04	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	48	0	0	0	10	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	24	0	0	0	0	0	43	0	10	21	35	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	59	0	21	0	0	28	0	0	0	0	0	35	47
00dbcec69924cc7694d15fa0e7d8ad8c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	13	19	9	4	0	0	0	0	0	0	0	0	0	0	0	23	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	9	0	0	15	19	0	0	39	11	11	0	0	0	0	0	0	0	9	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	9
00fd01b12341a6fcf4f29222babfa99d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
015133ecce3b556efa38229aac5049dc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
017659ee51eb71ae8eff4bbf2a039459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
