sample	Round	Cage	Mouse	Day	treatment	diet	mouse_id	id	paper_id
1-(-2)-S-F-AA	3	X	1	-2	salmonella	chow	3_X_1	3_X_1_-2	NA
1-(10)-S-F-FU	3	X	1	10	salmonella	chow	3_X_1	3_X_1_10	NA
2-(-2)-S-F-AB	3	X	2	-2	salmonella	chow	3_X_2	3_X_2_-2	NA
2-(10)-S-F-FV	3	X	2	10	salmonella	chow	3_X_2	3_X_2_10	NA
3-(-2)-S-F-AC	3	X	3	-2	salmonella	chow	3_X_3	3_X_3_-2	NA
3-(10)-S-F-FW	3	X	3	10	salmonella	chow	3_X_3	3_X_3_10	NA
4-(-2)-S-F-AD	3	X	4	-2	salmonella	chow	3_X_4	3_X_4_-2	NA
4-(10)-S-F-FX	3	X	4	10	salmonella	chow	3_X_4	3_X_4_10	NA
5-(-2)-S-F-AE	3	X	5	-2	salmonella	chow	3_X_5	3_X_5_-2	NA
5-(10)-S-F-FY	3	X	5	10	salmonella	chow	3_X_5	3_X_5_10	NA
11-(-2)-S-F-AK	3	X	11	-2	salmonella	chow	3_X_11	3_X_11_-2	NA
11-(10)-S-F-GE	3	X	11	10	salmonella	chow	3_X_11	3_X_11_10	NA
12-(-2)-S-F-AL	3	X	12	-2	salmonella	chow	3_X_12	3_X_12_-2	NA
12-(10)-S-F-GF	3	X	12	10	salmonella	chow	3_X_12	3_X_12_10	NA
13-(-2)-S-F-AM	3	X	13	-2	salmonella	chow	3_X_13	3_X_13_-2	I1
13-(-1)-S-F-CK	3	X	13	-1	salmonella	chow	3_X_13	3_X_13_-1	I1
13-(0)-S-F-EI	3	X	13	0	salmonella	chow	3_X_13	3_X_13_0	I1
13-(10)-S-F-GG	3	X	13	10	salmonella	chow	3_X_13	3_X_13_10	I1
13-(11)-S-F-KE	3	X	13	11	salmonella	chow	3_X_13	3_X_13_11	I1
13-(12)-S-F-MC	3	X	13	12	salmonella	chow	3_X_13	3_X_13_12	I1
14-(-2)-S-F-AN	3	X	14	-2	salmonella	chow	3_X_14	3_X_14_-2	NA
14-(10)-S-F-GH	3	X	14	10	salmonella	chow	3_X_14	3_X_14_10	NA
15-(-2)-S-F-AO	3	X	15	-2	salmonella	chow	3_X_15	3_X_15_-2	I2
15-(-1)-S-F-CM	3	X	15	-1	salmonella	chow	3_X_15	3_X_15_-1	I2
15-(0)-S-F-EK	3	X	15	0	salmonella	chow	3_X_15	3_X_15_0	I2
15-(10)-S-F-GI	3	X	15	10	salmonella	chow	3_X_15	3_X_15_10	I2
15-(11)-S-F-KG	3	X	15	11	salmonella	chow	3_X_15	3_X_15_11	I2
15-(12)-S-F-ME	3	X	15	12	salmonella	chow	3_X_15	3_X_15_12	I2
16-(-2)-S-F-AP	3	X	16	-2	salmonella	chow	3_X_16	3_X_16_-2	I3
16-(-1)-S-F-CN	3	X	16	-1	salmonella	chow	3_X_16	3_X_16_-1	I3
16-(0)-S-F-EL	3	X	16	0	salmonella	chow	3_X_16	3_X_16_0	I3
16-(10)-S-F-GJ	3	X	16	10	salmonella	chow	3_X_16	3_X_16_10	I3
16-(11)-S-F-KH	3	X	16	11	salmonella	chow	3_X_16	3_X_16_11	I3
16-(12)-S-F-MF	3	X	16	12	salmonella	chow	3_X_16	3_X_16_12	I3
17-(-2)-S-F-AQ	3	X	17	-2	salmonella	chow	3_X_17	3_X_17_-2	NA
17-(10)-S-F-GK	3	X	17	10	salmonella	chow	3_X_17	3_X_17_10	NA
18-(-2)-S-F-AR	3	X	18	-2	salmonella	chow	3_X_18	3_X_18_-2	NA
18-(10)-S-F-GL	3	X	18	10	salmonella	chow	3_X_18	3_X_18_10	NA
19-(-2)-S-F-AS	3	X	19	-2	salmonella	chow	3_X_19	3_X_19_-2	NA
19-(10)-S-F-GM	3	X	19	10	salmonella	chow	3_X_19	3_X_19_10	NA
20-(-2)-S-F-AT	3	X	20	-2	salmonella	chow	3_X_20	3_X_20_-2	I4
20-(-1)-S-F-CR	3	X	20	-1	salmonella	chow	3_X_20	3_X_20_-1	I4
20-(0)-S-F-EP	3	X	20	0	salmonella	chow	3_X_20	3_X_20_0	I4
20-(10)-S-F-GN	3	X	20	10	salmonella	chow	3_X_20	3_X_20_10	I4
20-(11)-S-F-KL	3	X	20	11	salmonella	chow	3_X_20	3_X_20_11	I4
20-(12)-S-F-MJ	3	X	20	12	salmonella	chow	3_X_20	3_X_20_12	I4
21-(-2)-S-F-AU	3	X	21	-2	salmonella	chow	3_X_21	3_X_21_-2	NA
21-(10)-S-F-GO	3	X	21	10	salmonella	chow	3_X_21	3_X_21_10	NA
22-(-2)-S-F-AV	3	X	22	-2	salmonella	chow	3_X_22	3_X_22_-2	NA
22-(10)-S-F-GP	3	X	22	10	salmonella	chow	3_X_22	3_X_22_10	NA
23-(-2)-S-F-AW	3	X	23	-2	salmonella	chow	3_X_23	3_X_23_-2	NA
23-(10)-S-F-GQ	3	X	23	10	salmonella	chow	3_X_23	3_X_23_10	NA
24-(-2)-S-F-AX	3	X	24	-2	salmonella	chow	3_X_24	3_X_24_-2	NA
24-(10)-S-F-GR	3	X	24	10	salmonella	chow	3_X_24	3_X_24_10	NA
25-(-2)-S-F-AY	3	X	25	-2	salmonella	chow	3_X_25	3_X_25_-2	NA
25-(10)-S-F-GS	3	X	25	10	salmonella	chow	3_X_25	3_X_25_10	NA
26-(-2)-S-F-AZ	3	X	26	-2	salmonella	chow	3_X_26	3_X_26_-2	NA
26-(10)-S-F-GT	3	X	26	10	salmonella	chow	3_X_26	3_X_26_10	NA
27-(-2)-S-F-BA	3	X	27	-2	salmonella	chow	3_X_27	3_X_27_-2	I5
27-(-1)-S-F-CY	3	X	27	-1	salmonella	chow	3_X_27	3_X_27_-1	I5
27-(0)-S-F-EW	3	X	27	0	salmonella	chow	3_X_27	3_X_27_0	I5
27-(10)-S-F-GU	3	X	27	10	salmonella	chow	3_X_27	3_X_27_10	I5
27-(11)-S-F-KS	3	X	27	11	salmonella	chow	3_X_27	3_X_27_11	I5
27-(12)-S-F-MQ	3	X	27	12	salmonella	chow	3_X_27	3_X_27_12	I5
28-(-2)-S-F-BB	3	X	28	-2	salmonella	chow	3_X_28	3_X_28_-2	I6
28-(-1)-S-F-CZ	3	X	28	-1	salmonella	chow	3_X_28	3_X_28_-1	I6
28-(0)-S-F-EX	3	X	28	0	salmonella	chow	3_X_28	3_X_28_0	I6
28-(10)-S-F-GV	3	X	28	10	salmonella	chow	3_X_28	3_X_28_10	I6
28-(11)-S-F-KT	3	X	28	11	salmonella	chow	3_X_28	3_X_28_11	I6
28-(12)-S-F-MR	3	X	28	12	salmonella	chow	3_X_28	3_X_28_12	I6
29-(-2)-S-F-BC	3	X	29	-2	salmonella	chow	3_X_29	3_X_29_-2	NA
29-(10)-S-F-GW	3	X	29	10	salmonella	chow	3_X_29	3_X_29_10	NA
30-(-2)-S-F-BD	3	X	30	-2	salmonella	chow	3_X_30	3_X_30_-2	NA
30-(10)-S-F-GX	3	X	30	10	salmonella	chow	3_X_30	3_X_30_10	NA
31-(-2)-S-F-BE	3	X	31	-2	salmonella	chow	3_X_31	3_X_31_-2	NA
31-(10)-S-F-GY	3	X	31	10	salmonella	chow	3_X_31	3_X_31_10	NA
32-(-2)-S-F-BF	3	X	32	-2	salmonella	chow	3_X_32	3_X_32_-2	I7
32-(-1)-S-F-DD	3	X	32	-1	salmonella	chow	3_X_32	3_X_32_-1	I7
32-(0)-S-F-FB	3	X	32	0	salmonella	chow	3_X_32	3_X_32_0	I7
32-(10)-S-F-GZ	3	X	32	10	salmonella	chow	3_X_32	3_X_32_10	I7
32-(11)-S-F-KX	3	X	32	11	salmonella	chow	3_X_32	3_X_32_11	I7
32-(12)-S-F-MV	3	X	32	12	salmonella	chow	3_X_32	3_X_32_12	I7
33-(-2)-S-F-BG	3	X	33	-2	salmonella	chow	3_X_33	3_X_33_-2	NA
33-(10)-S-F-HA	3	X	33	10	salmonella	chow	3_X_33	3_X_33_10	NA
34-(-2)-S-F-BH	3	X	34	-2	salmonella	chow	3_X_34	3_X_34_-2	NA
34-(10)-S-F-HB	3	X	34	10	salmonella	chow	3_X_34	3_X_34_10	NA
35-(-2)-S-F-BI	3	X	35	-2	salmonella	chow	3_X_35	3_X_35_-2	NA
35-(10)-S-F-HC	3	X	35	10	salmonella	chow	3_X_35	3_X_35_10	NA
36-(-2)-S-F-BJ	3	X	36	-2	salmonella	chow	3_X_36	3_X_36_-2	NA
36-(10)-S-F-HD	3	X	36	10	salmonella	chow	3_X_36	3_X_36_10	NA
38-(-2)-S-F-BL	3	X	38	-2	salmonella	chow	3_X_38	3_X_38_-2	NA
38-(10)-S-F-HF	3	X	38	10	salmonella	chow	3_X_38	3_X_38_10	NA
39-(-2)-S-F-BM	3	X	39	-2	salmonella	chow	3_X_39	3_X_39_-2	NA
39-(10)-S-F-HG	3	X	39	10	salmonella	chow	3_X_39	3_X_39_10	NA
40-(-2)-S-F-BN	3	X	40	-2	salmonella	chow	3_X_40	3_X_40_-2	NA
40-(10)-S-F-HH	3	X	40	10	salmonella	chow	3_X_40	3_X_40_10	NA
41-(-2)-S-F-BO	3	X	41	-2	salmonella	chow	3_X_41	3_X_41_-2	NA
41-(10)-S-F-HI	3	X	41	10	salmonella	chow	3_X_41	3_X_41_10	NA
42-(-2)-S-F-BP	3	X	42	-2	salmonella	chow	3_X_42	3_X_42_-2	NA
42-(10)-S-F-HJ	3	X	42	10	salmonella	chow	3_X_42	3_X_42_10	NA
43-(-2)-S-F-BQ	3	X	43	-2	salmonella	chow	3_X_43	3_X_43_-2	NA
44-(-2)-C-F-BR	3	X	44	-2	control	chow	3_X_44	3_X_44_-2	U2
44-(-1)-C-F-DP	3	X	44	-1	control	chow	3_X_44	3_X_44_-1	U2
44-(0)-C-F-FN	3	X	44	0	control	chow	3_X_44	3_X_44_0	U2
44-(10)-C-F-HL	3	X	44	10	control	chow	3_X_44	3_X_44_10	U2
44-(11)-C-F-LJ	3	X	44	11	control	chow	3_X_44	3_X_44_11	U2
