sample_id	round	cage	mouse	day	treatment	diet	mouse_id	new_samp_id	analysis_type	true_false	paper_id
5-(-2)-S-F-AE	3	X	5	-2	salmonella	chow	3_X_5	3_X_5_-2	16s	1	NA
5-(-2)-S-F-AE	3	X	5	-2	salmonella	chow	3_X_5	3_X_5_-2	metag_mapping	0	NA
5-(-2)-S-F-AE	3	X	5	-2	salmonella	chow	3_X_5	3_X_5_-2	metag_db	0	NA
5-(-2)-S-F-AE	3	X	5	-2	salmonella	chow	3_X_5	3_X_5_-2	metat	0	NA
5-(-2)-S-F-AE	3	X	5	-2	salmonella	chow	3_X_5	3_X_5_-2	metab	0	NA
5-(10)-S-F-FY	3	X	5	10	salmonella	chow	3_X_5	3_X_5_10	16s	1	NA
5-(10)-S-F-FY	3	X	5	10	salmonella	chow	3_X_5	3_X_5_10	metag_mapping	0	NA
5-(10)-S-F-FY	3	X	5	10	salmonella	chow	3_X_5	3_X_5_10	metag_db	0	NA
5-(10)-S-F-FY	3	X	5	10	salmonella	chow	3_X_5	3_X_5_10	metat	0	NA
5-(10)-S-F-FY	3	X	5	10	salmonella	chow	3_X_5	3_X_5_10	metab	0	NA
11-(-2)-S-F-AK	3	X	11	-2	salmonella	chow	3_X_11	3_X_11_-2	16s	1	NA
11-(-2)-S-F-AK	3	X	11	-2	salmonella	chow	3_X_11	3_X_11_-2	metag_mapping	0	NA
11-(-2)-S-F-AK	3	X	11	-2	salmonella	chow	3_X_11	3_X_11_-2	metag_db	0	NA
11-(-2)-S-F-AK	3	X	11	-2	salmonella	chow	3_X_11	3_X_11_-2	metat	0	NA
11-(-2)-S-F-AK	3	X	11	-2	salmonella	chow	3_X_11	3_X_11_-2	metab	0	NA
11-(10)-S-F-GE	3	X	11	10	salmonella	chow	3_X_11	3_X_11_10	16s	1	NA
11-(10)-S-F-GE	3	X	11	10	salmonella	chow	3_X_11	3_X_11_10	metag_mapping	0	NA
11-(10)-S-F-GE	3	X	11	10	salmonella	chow	3_X_11	3_X_11_10	metag_db	0	NA
11-(10)-S-F-GE	3	X	11	10	salmonella	chow	3_X_11	3_X_11_10	metat	0	NA
11-(10)-S-F-GE	3	X	11	10	salmonella	chow	3_X_11	3_X_11_10	metab	0	NA
12-(-2)-S-F-AL	3	X	12	-2	salmonella	chow	3_X_12	3_X_12_-2	16s	1	NA
12-(-2)-S-F-AL	3	X	12	-2	salmonella	chow	3_X_12	3_X_12_-2	metag_mapping	0	NA
12-(-2)-S-F-AL	3	X	12	-2	salmonella	chow	3_X_12	3_X_12_-2	metag_db	0	NA
12-(-2)-S-F-AL	3	X	12	-2	salmonella	chow	3_X_12	3_X_12_-2	metat	0	NA
12-(-2)-S-F-AL	3	X	12	-2	salmonella	chow	3_X_12	3_X_12_-2	metab	0	NA
12-(10)-S-F-GF	3	X	12	10	salmonella	chow	3_X_12	3_X_12_10	16s	1	NA
12-(10)-S-F-GF	3	X	12	10	salmonella	chow	3_X_12	3_X_12_10	metag_mapping	0	NA
12-(10)-S-F-GF	3	X	12	10	salmonella	chow	3_X_12	3_X_12_10	metag_db	0	NA
12-(10)-S-F-GF	3	X	12	10	salmonella	chow	3_X_12	3_X_12_10	metat	0	NA
12-(10)-S-F-GF	3	X	12	10	salmonella	chow	3_X_12	3_X_12_10	metab	0	NA
13-(-2)-S-F-AM	3	X	13	-2	salmonella	chow	3_X_13	3_X_13_-2	16s	1	I1
13-(-2)-S-F-AM	3	X	13	-2	salmonella	chow	3_X_13	3_X_13_-2	metag_mapping	0	I1
13-(-2)-S-F-AM	3	X	13	-2	salmonella	chow	3_X_13	3_X_13_-2	metag_db	0	I1
13-(-2)-S-F-AM	3	X	13	-2	salmonella	chow	3_X_13	3_X_13_-2	metat	0	I1
13-(-2)-S-F-AM	3	X	13	-2	salmonella	chow	3_X_13	3_X_13_-2	metab	0	I1
13-(-1)-S-F-CK	3	X	13	-1	salmonella	chow	3_X_13	3_X_13_-1	16s	1	I1
13-(-1)-S-F-CK	3	X	13	-1	salmonella	chow	3_X_13	3_X_13_-1	metag_mapping	0	I1
13-(-1)-S-F-CK	3	X	13	-1	salmonella	chow	3_X_13	3_X_13_-1	metag_db	0	I1
13-(-1)-S-F-CK	3	X	13	-1	salmonella	chow	3_X_13	3_X_13_-1	metat	0	I1
13-(-1)-S-F-CK	3	X	13	-1	salmonella	chow	3_X_13	3_X_13_-1	metab	0	I1
13-(0)-S-F-EI	3	X	13	0	salmonella	chow	3_X_13	3_X_13_0	16s	1	I1
13-(0)-S-F-EI	3	X	13	0	salmonella	chow	3_X_13	3_X_13_0	metag_mapping	0	I1
13-(0)-S-F-EI	3	X	13	0	salmonella	chow	3_X_13	3_X_13_0	metag_db	0	I1
13-(0)-S-F-EI	3	X	13	0	salmonella	chow	3_X_13	3_X_13_0	metat	0	I1
13-(0)-S-F-EI	3	X	13	0	salmonella	chow	3_X_13	3_X_13_0	metab	0	I1
13-(10)-S-F-GG	3	X	13	10	salmonella	chow	3_X_13	3_X_13_10	16s	1	I1
13-(10)-S-F-GG	3	X	13	10	salmonella	chow	3_X_13	3_X_13_10	metag_mapping	0	I1
13-(10)-S-F-GG	3	X	13	10	salmonella	chow	3_X_13	3_X_13_10	metag_db	0	I1
13-(10)-S-F-GG	3	X	13	10	salmonella	chow	3_X_13	3_X_13_10	metat	0	I1
13-(10)-S-F-GG	3	X	13	10	salmonella	chow	3_X_13	3_X_13_10	metab	0	I1
13-(11)-S-F-KE	3	X	13	11	salmonella	chow	3_X_13	3_X_13_11	16s	1	I1
13-(11)-S-F-KE	3	X	13	11	salmonella	chow	3_X_13	3_X_13_11	metag_mapping	1	I1
13-(11)-S-F-KE	3	X	13	11	salmonella	chow	3_X_13	3_X_13_11	metag_db	1	I1
13-(11)-S-F-KE	3	X	13	11	salmonella	chow	3_X_13	3_X_13_11	metat	1	I1
13-(11)-S-F-KE	3	X	13	11	salmonella	chow	3_X_13	3_X_13_11	metab	0	I1
13-(12)-S-F-MC	3	X	13	12	salmonella	chow	3_X_13	3_X_13_12	16s	1	I1
13-(12)-S-F-MC	3	X	13	12	salmonella	chow	3_X_13	3_X_13_12	metag_mapping	0	I1
13-(12)-S-F-MC	3	X	13	12	salmonella	chow	3_X_13	3_X_13_12	metag_db	0	I1
13-(12)-S-F-MC	3	X	13	12	salmonella	chow	3_X_13	3_X_13_12	metat	0	I1
13-(12)-S-F-MC	3	X	13	12	salmonella	chow	3_X_13	3_X_13_12	metab	1	I1
15-(-2)-S-F-AO	3	X	15	-2	salmonella	chow	3_X_15	3_X_15_-2	16s	1	I2
15-(-2)-S-F-AO	3	X	15	-2	salmonella	chow	3_X_15	3_X_15_-2	metag_mapping	0	I2
15-(-2)-S-F-AO	3	X	15	-2	salmonella	chow	3_X_15	3_X_15_-2	metag_db	0	I2
15-(-2)-S-F-AO	3	X	15	-2	salmonella	chow	3_X_15	3_X_15_-2	metat	0	I2
15-(-2)-S-F-AO	3	X	15	-2	salmonella	chow	3_X_15	3_X_15_-2	metab	0	I2
15-(-1)-S-F-CM	3	X	15	-1	salmonella	chow	3_X_15	3_X_15_-1	16s	1	I2
15-(-1)-S-F-CM	3	X	15	-1	salmonella	chow	3_X_15	3_X_15_-1	metag_mapping	0	I2
15-(-1)-S-F-CM	3	X	15	-1	salmonella	chow	3_X_15	3_X_15_-1	metag_db	0	I2
15-(-1)-S-F-CM	3	X	15	-1	salmonella	chow	3_X_15	3_X_15_-1	metat	0	I2
15-(-1)-S-F-CM	3	X	15	-1	salmonella	chow	3_X_15	3_X_15_-1	metab	0	I2
15-(0)-S-F-EK	3	X	15	0	salmonella	chow	3_X_15	3_X_15_0	16s	1	I2
15-(0)-S-F-EK	3	X	15	0	salmonella	chow	3_X_15	3_X_15_0	metag_mapping	0	I2
15-(0)-S-F-EK	3	X	15	0	salmonella	chow	3_X_15	3_X_15_0	metag_db	0	I2
15-(0)-S-F-EK	3	X	15	0	salmonella	chow	3_X_15	3_X_15_0	metat	0	I2
15-(0)-S-F-EK	3	X	15	0	salmonella	chow	3_X_15	3_X_15_0	metab	0	I2
15-(10)-S-F-GI	3	X	15	10	salmonella	chow	3_X_15	3_X_15_10	16s	1	I2
15-(10)-S-F-GI	3	X	15	10	salmonella	chow	3_X_15	3_X_15_10	metag_mapping	0	I2
15-(10)-S-F-GI	3	X	15	10	salmonella	chow	3_X_15	3_X_15_10	metag_db	0	I2
15-(10)-S-F-GI	3	X	15	10	salmonella	chow	3_X_15	3_X_15_10	metat	0	I2
15-(10)-S-F-GI	3	X	15	10	salmonella	chow	3_X_15	3_X_15_10	metab	0	I2
15-(11)-S-F-KG	3	X	15	11	salmonella	chow	3_X_15	3_X_15_11	16s	1	I2
15-(11)-S-F-KG	3	X	15	11	salmonella	chow	3_X_15	3_X_15_11	metag_mapping	0	I2
15-(11)-S-F-KG	3	X	15	11	salmonella	chow	3_X_15	3_X_15_11	metag_db	0	I2
15-(11)-S-F-KG	3	X	15	11	salmonella	chow	3_X_15	3_X_15_11	metat	1	I2
15-(11)-S-F-KG	3	X	15	11	salmonella	chow	3_X_15	3_X_15_11	metab	0	I2
15-(12)-S-F-ME	3	X	15	12	salmonella	chow	3_X_15	3_X_15_12	16s	1	I2
15-(12)-S-F-ME	3	X	15	12	salmonella	chow	3_X_15	3_X_15_12	metag_mapping	0	I2
15-(12)-S-F-ME	3	X	15	12	salmonella	chow	3_X_15	3_X_15_12	metag_db	0	I2
15-(12)-S-F-ME	3	X	15	12	salmonella	chow	3_X_15	3_X_15_12	metat	0	I2
15-(12)-S-F-ME	3	X	15	12	salmonella	chow	3_X_15	3_X_15_12	metab	1	I2
16-(-2)-S-F-AP	3	X	16	-2	salmonella	chow	3_X_16	3_X_16_-2	16s	1	I3
16-(-2)-S-F-AP	3	X	16	-2	salmonella	chow	3_X_16	3_X_16_-2	metag_mapping	0	I3
16-(-2)-S-F-AP	3	X	16	-2	salmonella	chow	3_X_16	3_X_16_-2	metag_db	0	I3
16-(-2)-S-F-AP	3	X	16	-2	salmonella	chow	3_X_16	3_X_16_-2	metat	0	I3
16-(-2)-S-F-AP	3	X	16	-2	salmonella	chow	3_X_16	3_X_16_-2	metab	0	I3
16-(-1)-S-F-CN	3	X	16	-1	salmonella	chow	3_X_16	3_X_16_-1	16s	1	I3
16-(-1)-S-F-CN	3	X	16	-1	salmonella	chow	3_X_16	3_X_16_-1	metag_mapping	0	I3
16-(-1)-S-F-CN	3	X	16	-1	salmonella	chow	3_X_16	3_X_16_-1	metag_db	0	I3
16-(-1)-S-F-CN	3	X	16	-1	salmonella	chow	3_X_16	3_X_16_-1	metat	0	I3
16-(-1)-S-F-CN	3	X	16	-1	salmonella	chow	3_X_16	3_X_16_-1	metab	0	I3
16-(0)-S-F-EL	3	X	16	0	salmonella	chow	3_X_16	3_X_16_0	16s	1	I3
16-(0)-S-F-EL	3	X	16	0	salmonella	chow	3_X_16	3_X_16_0	metag_mapping	0	I3
16-(0)-S-F-EL	3	X	16	0	salmonella	chow	3_X_16	3_X_16_0	metag_db	0	I3
16-(0)-S-F-EL	3	X	16	0	salmonella	chow	3_X_16	3_X_16_0	metat	0	I3
16-(0)-S-F-EL	3	X	16	0	salmonella	chow	3_X_16	3_X_16_0	metab	0	I3
16-(10)-S-F-GJ	3	X	16	10	salmonella	chow	3_X_16	3_X_16_10	16s	1	I3
16-(10)-S-F-GJ	3	X	16	10	salmonella	chow	3_X_16	3_X_16_10	metag_mapping	0	I3
16-(10)-S-F-GJ	3	X	16	10	salmonella	chow	3_X_16	3_X_16_10	metag_db	0	I3
16-(10)-S-F-GJ	3	X	16	10	salmonella	chow	3_X_16	3_X_16_10	metat	0	I3
16-(10)-S-F-GJ	3	X	16	10	salmonella	chow	3_X_16	3_X_16_10	metab	0	I3
16-(11)-S-F-KH	3	X	16	11	salmonella	chow	3_X_16	3_X_16_11	16s	1	I3
16-(11)-S-F-KH	3	X	16	11	salmonella	chow	3_X_16	3_X_16_11	metag_mapping	0	I3
16-(11)-S-F-KH	3	X	16	11	salmonella	chow	3_X_16	3_X_16_11	metag_db	0	I3
16-(11)-S-F-KH	3	X	16	11	salmonella	chow	3_X_16	3_X_16_11	metat	1	I3
16-(11)-S-F-KH	3	X	16	11	salmonella	chow	3_X_16	3_X_16_11	metab	0	I3
16-(12)-S-F-MF	3	X	16	12	salmonella	chow	3_X_16	3_X_16_12	16s	1	I3
16-(12)-S-F-MF	3	X	16	12	salmonella	chow	3_X_16	3_X_16_12	metag_mapping	0	I3
16-(12)-S-F-MF	3	X	16	12	salmonella	chow	3_X_16	3_X_16_12	metag_db	0	I3
16-(12)-S-F-MF	3	X	16	12	salmonella	chow	3_X_16	3_X_16_12	metat	0	I3
16-(12)-S-F-MF	3	X	16	12	salmonella	chow	3_X_16	3_X_16_12	metab	1	I3
17-(-2)-S-F-AQ	3	X	17	-2	salmonella	chow	3_X_17	3_X_17_-2	16s	1	NA
