Compound	MC_POS_1_Salmonella	MC_POS_2_Salmonella	MC_POS_3_Salmonella	ME_POS_1_Salmonella	ME_POS_2_Salmonella	ME_POS_3_Salmonella	MF_POS_1_Salmonella	MF_POS_2_Salmonella	MF_POS_3_Salmonella	MJ_POS_1_Salmonella	MJ_POS_2_Salmonella	MJ_POS_3_Salmonella	MQ_POS_1_Salmonella	MQ_POS_2_Salmonella	MQ_POS_3_Salmonella	MR_POS_1_Salmonella	MR_POS_2_Salmonella	MR_POS_3_Salmonella	MV_POS_1_Salmonella	MV_POS_2_Salmonella	MV_POS_3_Salmonella	NH_POS_1_Control	NH_POS_2_Control	NH_POS_3_Control	NI_POS_1_Control	NI_POS_2_Control	NI_POS_3_Control	NJ_POS_1_Control	NJ_POS_2_Control	NJ_POS_3_Control	NK_POS_1_Control	NK_POS_2_Control	NK_POS_3_Control	NL_POS_1_Control	NL_POS_2_Control	NL_POS_3_Control	NM_POS_1_Control	NM_POS_2_Control	NM_POS_3_Control	NN_POS_1_Control	NN_POS_2_Control	NN_POS_3_Control	PRE_QC1_POS_1_QC	PRE_QC2_POS_1_QC	QC1_POS_1_QC	QC1_POS_2_QC	QC1_POS_3_QC	QC2_POS_1_QC	QC2_POS_2_QC	QC2_POS_3_QC
1.33_515.2932	4984310.431	7355105.86	28078.81531	6145151.271	7851693.907	8715462.866	9888127.934	10414114.08	18124449.39	9374806.589	9882584.781	13038890.89	8576184.821	11719366.38	8576304.821	5229469.571	6902731.783	9371804.219	4791287.849	5334378.669	8187692.643	1253807.318	1674855.862	1922761.974	394447.7247	756720.559	820512.0125	770151.4668	959073.8443	1384662.751	937533.5173	1195717.803	1446460.517	1018544.676	1565469.935	1766409.224	534846.5245	610781.4218	610839.4218	573217.6332	1097.707688	759961.6847	5802519.874	5706582.288	5353713.526	5419768.192	6575511.565	5646555.953	5817263.728	8421789.944
5.16_104.1075	321860443	551272347.6	1028630915	233982581.8	212459516	301557663	261538260.1	300595347.4	511011712.5	158569174.8	198611954.2	226795814.7	190828000.9	374519314.4	190827953.9	355179675.8	409223846.5	636407451.9	13446167.27	14051658	19284605.9	23326686.89	22018633.35	30678770.21	14074204.37	25864451.13	40053122.43	14819233.03	17727693.5	46643806.91	43980700.42	38039834.07	58398149.96	19394827.06	23963143.15	34390197.84	105343704.3	101256768.3	101256701.3	22250474.17	16672366.23	20166402.59	154676435.1	154283120.9	140270448.1	139058692.7	198483235.1	158754696.7	141644912.4	227134605.1
2.36_184.0645	437635.8754	580242.9416	10583.32149	321570.3764	278079.1539	317186.6071	110922.4536	116918.0704	0	35628.9433	46414.56787	57296.77847	257499.5187	0	257633.5187	265390.8884	294791.1069	0	378176.8363	340090.7447	495052.6916	584158.7581	688234.5274	766181.2094	774162.2344	1030108.24	1593159.991	845309.097	990756.6861	0	1035776.159	1017027.775	1441162.422	747537.5044	1095503.173	1354917.154	1026807.911	1160522.494	1160668.494	822517.2382	0	1043125.923	517811.2346	582373.1072	522472.5414	516968.4675	588512.2823	512700.6423	498451.064	590206.269
2.94_810.6036	760346.6683	1304141.688	0	652614.067	796095.4456	815360.2013	200640.7463	256661.3731	0	479779.3879	613539.5051	722445.3934	1377268.34	2669387.034	1377269.34	843248.7639	921355.0902	1365204.976	317028.1237	333282.7582	35930.59712	40982.77637	59890.4802	50826.28858	0	0	0	12455.26086	20685.42153	41045.95491	6733.445431	0	0	9596.052039	18687.9486	0	0	0	0	22629.50665	0	0	186249.6303	233855.1395	208956.1503	203745.8691	283292.3387	197917.5837	210709.64	296389.2384
8.30_148.0432	2004780.782	3952668.28	13167.21841	2875107.031	1754572.393	3896755.212	2954933.631	4006191.702	7472757.701	3227820.513	4569033.402	7778413.588	5346820.408	1604262.25	5346722.408	2193100.963	2720712.804	4099741.322	2215018.627	2185957.101	632.5752073	1106690.339	771314.9898	1366755.653	51064.57511	2053144.748	3222797.746	814436.9677	511793.3436	137000.8279	1283741.206	733685.4008	1544393.024	758405.9669	1326747.063	15859.40393	499535.712	793660.6408	793743.6408	798022.232	24171.80514	923636.3231	1958619.685	1903055.591	1953845.539	2325329.798	2277996.384	1918987.997	1638816.562	3124371.985
0.92_535.2728	162428.372	7285.063233	0	127899.7025	130562.3585	152733.6564	205431.4063	214750.3408	5213.096391	84551.37803	98698.66864	149279.6835	136672.5659	7822.043352	136792.5659	257898.251	188706.4225	321975.6119	250920.9586	236702.2856	290418.7711	539103.4996	672084.0998	665421.1387	836268.1255	694173.7986	0	452770.6894	570013.2354	0	978774.1749	874014.4893	894560.04	488983.6734	1451.964429	0	948362.9169	875091.1594	875202.1594	405168.2606	806.1710852	485780.712	469885.8108	469265.3902	453429.1794	380215.5211	515283.0023	405677.1125	356327.5743	532115.1263
1.07_553.3404	0	0	0	657.1430639	7155.035595	0	312.8535085	0	0	157.8694033	507.2497582	736.2014762	18149.22399	1547.884197	18248.22399	6601.674535	22041.87759	26605.28539	67045.15325	73235.19492	141150.2084	25065.61069	49911.47045	55379.66455	80574.0754	82615.87538	0	189074.2803	226206.9022	0	241537.6171	242655.8773	268834.824	223245.7805	357595.9014	3749.087562	161981.4533	170918.3203	170746.3203	156586.3966	0	176235.4955	50656.82746	56132.52001	52511.03518	63642.83314	72429.36841	61621.78048	69437.35824	90383.38028
0.82_187.0642	297.792105	0	0	0	0	0	10023.17658	6050.417478	12743.16509	8703.070976	0	0	439.7849377	0	545.7849377	223.6486136	1414.422431	823.3058953	9917.592975	12285.11658	15566.24298	61357.02469	86171.91354	86394.47318	65592.23967	59842.18915	36.69146848	21451.31169	17455.76395	0	53944.2898	62424.69996	63282.30964	18727.12803	0	0	14477.11545	12503.6456	12309.6456	24329.49023	0	25348.65845	11928.2773	17873.4029	15920.5633	21502.23544	15558.61017	21735.21008	19531.8448	23756.31739
2.94_745.6034	1558495.976	2651233.861	4544607.574	1374020.077	1640473.737	1732929.097	502351.3568	523718.1616	1030994.657	1089195.682	1184581.893	1518593.235	3933427.468	7413362.49	3933464.468	1457934.629	1591811.456	1985412.548	440154.438	436713.3672	641203.7218	40401.01543	43515.78323	98839.60117	96632.15431	186634.1774	297550.1166	137122.5834	147263.152	261758.2542	37942.50417	59892.54255	103990.544	116222.6718	156691.0544	155549.3227	149405.5586	115318.8618	115432.8618	124477.0647	0	134834.5144	563841.023	575141.2811	536262.2983	558466.5261	678044.7522	537022.974	580360.4306	691822.321
1.26_367.2723	8144.637302	3185.470407	12795.86163	7786.268098	12610.07201	12505.01772	7536.842984	13165.8218	7478.285608	7016.126384	10834.93991	6039.648671	12218.1544	94777.30017	12078.1544	7481.517134	17259.9747	9135.043686	24264.46932	27602.55183	42216.01835	48052.24213	61456.26472	48856.86929	33857.99989	72134.30448	29010.02761	50915.00892	42325.05765	173672.848	36335.18414	43761.05974	34386.59296	47010.29292	43784.68262	36387.07769	22397.02463	24474.55002	24596.55002	32826.57365	4523.043474	28603.90649	23589.32758	19101.74931	27018.38075	27674.60893	20912.68424	24301.69999	23917.42925	33060.57873
